koi_period,koi_depth,koi_prad,koi_insol,koi_duration,koi_impact,koi_model_snr,koi_teq,koi_steff,koi_slogg,koi_srad
0.32744202873084366,0.989761702327286,0.5691803796137954,-0.5804201906533503,-0.5954276108892674,0.08503115957273427,-0.26760970776323817,-0.570325268104207,0.1729518717656049,0.5319458774642847,-0.13285744239321218
0.7517670822574671,0.7650221342398664,0.1392913746504331,-1.043021500778823,-0.3501488213895242,0.06487113817555337,-0.3127674090309578,-0.7643975464199424,-0.3369335705070812,0.44493542119149393,-0.1464987419859211
-0.2498433632138015,-0.22557231091135654,0.761210965766738,-0.3674039320355307,-0.7854961601395432,0.1646284854340175,-0.339357730589615,-0.46137241010239066,-0.8894138654511956,0.6518792090835374,-0.14900748673860323
-0.634035370274367,-1.5106027487500027,-1.0687290767281152,0.48345484375294545,-0.3857032224500643,-0.0348862090829108,-0.3450884033393256,0.14921756494945515,0.0802454277160256,0.04986091703395858,-0.09851899859087586
-0.06052988130026068,0.7298434559657229,0.15739651691862253,-0.21146052961673786,-0.3273412165170642,0.06799941735787456,-0.14462947055444864,-0.3728482129759149,0.3420784926668644,0.5248909756043305,-0.13787493189857639
0.3191113348872487,1.2749453309474996,0.5221861206574117,-0.5700242775015399,-0.5610221293389805,-0.09258558066794581,0.03519904033147015,-0.5646506400832791,-0.006197067411284823,0.4096609118917146,-0.12705597015263478
0.6620838781417094,0.6322265703607536,0.14757831333885324,-0.9143601714806665,-0.41698799019547395,0.07286562941926306,-0.26703664048826714,-0.7144608198357766,-0.2580078140864934,0.3861445723585284,-0.13238705275208426
-0.48496695880225515,0.3812004078018448,1.0583616782023926,0.3345423885644077,4.641440672481056,0.19313058465072158,-0.01477242604600635,0.01643126925974147,0.9371536402824071,0.428473983518264,-0.1394428973690027
-1.1194152867895328,0.8707270416356353,1.6712901953040227,1.1474179565848168,-0.583255274456314,0.2951124859943919,-0.252366118249008,0.9152923477747265,0.6427480409357702,0.2591563388793194,-0.11372826365401112
1.833790180765316,1.2554444496214032,0.35841129648752534,-1.9210949976902019,0.40540549005594373,0.018642123592362666,-0.04354040324955355,-1.0810417899877212,-1.841534101636064,0.727131495589735,-0.1659415138192074
0.7416420745109769,1.1280794809231351,0.551221094181906,-0.801103100713183,0.26205449224285793,0.05444354090114945,0.28803632204870205,-0.6679288700641676,0.5099523237836702,0.3979027421251215,-0.11780497387711954
0.1053731984985397,0.7292580435852838,0.7461364093375442,-0.36931068431658637,-0.4693880354266193,0.12396085606384223,-0.14405640327947758,-0.46250733570657626,-0.022483334609183888,0.33440862538551697,-0.12736956324672005
1.4117316026343645,0.8354922276598638,0.25232063670380533,-1.3743456755836074,0.39175818938685414,-0.22536365262868907,-0.098898702011758,-0.8790250324426867,-0.32816404201590477,0.05691581889391278,-0.10243891226694164
0.07627654105484925,1.5493503397523196,0.872982309227866,-0.3903906342897578,-0.48638893899050195,0.06000492611416488,-0.002623399816619842,-0.47385659174843214,0.20051324702358791,0.5977916281572087,-0.1421084386687274
