koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,target,koi_disposition,kepid
11.37936986,2.6255,1023.5,3.95,0.911,37.9,806.0,99.68,5714.0,4.428,1.015,1,CONFIRMED,12366084
26.39432897,3.573,1510.9,3.07,0.602,48.2,489.0,13.49,5129.0,4.595,0.763,1,CONFIRMED,12404086
13.57078281,3.3539,511.7,2.64,0.866,88.4,785.0,89.61,5854.0,4.406,1.012,1,CONFIRMED,8395660
7.12594387,3.0014,192.4,1.79,0.898,47.1,997.0,233.31,5779.0,4.339,1.087,1,CONFIRMED,9579641
7.442652004,2.3078,24446.2,15.03,0.137,835.6,967.0,206.78,6108.0,4.469,0.956,0,FALSE POSITIVE,11656840
16.38489988,3.0249,1127.1,2.0,0.001,28.9,433.0,8.35,4126.0,4.661,0.615,1,CONFIRMED,11754553
7.8774163,2.0805,1306.1,2.16,0.041,38.7,553.0,22.18,4126.0,4.661,0.615,1,CONFIRMED,11754553
36.4454001,4.007,1122.3,1.99,0.028,21.7,332.0,2.88,4126.0,4.661,0.615,1,CONFIRMED,11754553
3.728732147,2.683,5226.5,6.02,0.558,345.2,1023.0,258.34,5497.0,4.577,0.809,1,CONFIRMED,11812062
2.243380573,1.1196,821.7,1.99,0.915,38.9,822.0,107.6,4149.0,4.698,0.564,1,CONFIRMED,11853255
10.405998015,6.5036,14488.8,11.23,0.324,745.2,833.0,113.94,5746.0,4.393,0.924,0,FALSE POSITIVE,11909839
2.337437946,1.9982,971.2,2.34,0.28,82.4,1070.0,311.16,5005.0,4.595,0.765,1,CONFIRMED,11918099
11.59822233,2.5237,2804.5,2.65,0.679,71.0,396.0,5.82,3688.0,4.79,0.473,1,CONFIRMED,11923270
6.575315881,4.3084,2793.3,5.31,0.39,221.1,1015.0,251.38,5992.0,4.415,0.989,1,CONFIRMED,11960862
7.275040844,7.5377,3001.0,4.86,0.547,312.1,833.0,113.64,5485.0,4.556,0.867,1,CONFIRMED,12020329
19.27153892,2.7594,1219.8,1.93,0.031,37.1,393.0,5.66,4077.0,4.702,0.56,1,CONFIRMED,12066335
10.06524317,1.369,1053.3,1.91,0.628,30.3,488.0,13.43,4077.0,4.702,0.56,1,CONFIRMED,12066335
12.3935651,3.8896,916.6,2.66,0.883,35.8,677.0,49.68,5557.0,4.603,0.75,1,CONFIRMED,12070811
43.84439721,6.802,615.2,2.87,0.852,83.7,531.0,18.77,5854.0,4.406,1.012,1,CONFIRMED,8395660
3.341913228,3.813,725.3,21.55,1.213,39.0,1032.0,268.67,5295.0,4.551,0.811,0,FALSE POSITIVE,3120431
1.626630225,2.1145,1620.6,32.43,1.26,103.6,1547.0,1355.88,5735.0,4.41,0.973,0,FALSE POSITIVE,3246984
2.711504086,3.0099,837.5,3.12,0.023,64.5,1420.0,960.79,6214.0,4.442,1.076,1,CONFIRMED,3342970
